Iteam-Number,Iteam-Name,Stock Balance,Iteam-type,Purchase Price,Selling Price,Production Date,Expiry Date
646,Alaa Al-Deen Tissues 800 g (1�10),611.1,Inventory Item,18.53,22.09,1/13/2023,3/3/2025
648,Awsam Argalot Small 300 g (12 pcs),194.667,Inventory Item,63.16,97.71,6/21/2025,7/20/2026
649,Tide Liquid Detergent 2.5 L,214.25,Inventory Item,105.53,150.61,1/19/2024,10/3/2025
651,Poker Biscuits 150 g (5 Shekel),63,Inventory Item,89.41,105.15,7/9/2024,3/5/2027
654,Varna Juice 250 ml (1�27),50,Inventory Item,84.25,111.22,6/5/2025,4/27/2027
655,Abu Abda Chili Sauce Large 780 g (1�6),48,Inventory Item,84.89,119.5,2/3/2024,10/21/2025
656,Abu Abda Chili Sauce Small 300 g (1�12),69,Inventory Item,44.42,50.72,1/19/2023,7/1/2025
666,XL Small Juice (Mixed Flavors: Apple & Mango),453,Inventory Item,36.64,56.47,7/28/2024,4/7/2025
676,Active Juice 170 ml (1�48),75,Inventory Item,97.5,146.43,5/5/2024,4/21/2026
679,Always Biscuits (1�6),126.333,Inventory Item,97.59,132,1/20/2025,10/27/2025
680,Awsam Pasta 250 g (�40),4,Inventory Item,104.31,165.18,2/23/2024,2/12/2025
683,Zadna Pickles Size 13�17,129.458,Inventory Item,109.76,143.66,12/3/2023,7/31/2025
684,Zadna Pickles Bucket Size 30�36 (1�6),185,Inventory Item,62.34,99.25,2/23/2024,12/15/2024
696,Fettuccine Pasta 500 g (Plastic),1637,Inventory Item,61.18,87.73,9/3/2024,8/14/2025
698,Al-Zahraa Flour,8,Inventory Item,96.2,136.35,11/5/2024,6/13/2025
705,Glass Gifts 600 g,44,Inventory Item,78.7,93.1,5/2/2023,12/30/2024
706,7 Days Croissant Stand 65 g (60 pcs),1,Inventory Item,84.83,130.72,3/7/2024,8/12/2025
707,First Harvest Tomatoes (1�12),211,Inventory Item,95.9,125.99,2/13/2023,10/8/2024
709,Lays Chips 18 g (1 Shekel),31,Inventory Item,107.02,126.4,5/21/2025,11/17/2026
711,Heinz Pizza Sauce 350 g (1�12),64.417,Inventory Item,41.88,46.33,11/13/2023,9/7/2024
714,Flex Razors (3 Blades) BIG,10.1,Inventory Item,46.32,63.92,1/16/2024,3/14/2026
715,Ajax Glass Cleaner Single (1�12),157.167,Inventory Item,13.09,17.85,5/25/2023,9/7/2025
717,Twengo Biscuits (1�12),12.5,Inventory Item,70.24,102.53,11/23/2023,5/18/2026
723,Cheap Fatafit Tomatoes 400 g,55,Inventory Item,6.24,9.64,12/29/2023,2/9/2025
726,Cola Cans 150 ml (1 Shekel),9944,Inventory Item,56.94,64.89,2/19/2023,11/19/2025
727,Fresher Flavored Drink 200 ml (1�24),649,Inventory Item,66.03,96.78,3/6/2023,1/9/2024
731,Highway Cake 60 g (1�6),86,Inventory Item,35.81,42.75,12/21/2023,6/4/2025
732,I Caf�,67,Inventory Item,71.72,109.67,3/10/2025,2/11/2028
734,Awsam Thyme Crackers (1�12),68,Inventory Item,5.6,8.45,6/13/2023,10/22/2024
736,Al-Rihan Juice (1�24),11,Inventory Item,6.41,8.78,5/21/2023,8/26/2025
737,Caroli Oil 1 L (1�15),6.8,Inventory Item,99.07,144.16,4/5/2025,1/15/2028
744,Laziza Whole Mushrooms 400 g (1�24),2,Inventory Item,44.5,55.94,5/8/2023,10/5/2024
746,Al-Zahraa Gelatin,19,Inventory Item,16.99,22.69,2/2/2024,4/29/2025
747,Betty Bear Sugar 1 kg (8 pcs),11.25,Inventory Item,63.62,96.12,5/29/2025,3/21/2026
751,Puck Triangle Cheese 360 g (16 pcs),26.438,Inventory Item,92.86,123.47,4/7/2024,12/30/2026
752,Twinkies (1�6),89,Inventory Item,27.47,35.13,1/20/2025,7/21/2026
758,Al-Faisal Rice 1 kg (1�12),696,Inventory Item,75.5,101.71,4/15/2025,1/13/2026
763,Al-Ard Olive Oil 500 ml (1�12),1,Inventory Item,12.07,18.28,3/18/2025,2/28/2026
764,Al-Ard Olive Oil 250 ml (1�12),4,Inventory Item,8.1,10.27,7/6/2023,12/16/2025
765,Diamond Rice 1 kg,26,Inventory Item,64.7,76.79,12/20/2024,5/24/2026
766,Compressed Semolina,3,Inventory Item,65.79,95.79,1/1/2025,4/21/2027
777,Canola Oil 5 L,5,Inventory Item,77.22,116.83,6/30/2025,6/27/2028
778,Al-Wadi Rice 5 kg,62,Inventory Item,87.68,100.86,7/9/2023,11/29/2025
779,Al-Wadi Rice 1 kg,10,Inventory Item,117.15,142.92,1/23/2024,12/19/2024
782,Canola Oil 3 L,12,Inventory Item,62.92,73.68,3/4/2024,4/8/2026
784,Betty Bear Gold Sugar 900 g (Cheap),586.5,Inventory Item,40.11,51.1,5/7/2025,3/28/2028
785,Mabket Vermicelli 4 kg (Rabbit Brand),508.55,Inventory Item,95.83,126.99,10/11/2023,10/7/2026
786,Flavored Soda Water,43,Inventory Item,33.96,50.07,5/13/2025,8/9/2026
791,Pop Cake Small Size (1�12),19.333,Inventory Item,53.8,76.7,8/25/2023,8/27/2025
792,Juice Cool Drink (1�30),39,Inventory Item,11.26,15.88,7/13/2023,5/18/2025
793,Mackintosh Plastic Pack 650 g (New),536,Inventory Item,4.99,6.37,10/14/2023,4/4/2026
794,Raffaello Triple 38 g (1�4),84,Inventory Item,115.59,175.78,2/9/2025,11/16/2025
796,Venus Snap Advanced Handle (027-102),31,Inventory Item,100.65,134.43,1/27/2025,2/2/2027
800,Signal Toothpaste 50 ml,75,Inventory Item,84.12,133.71,5/16/2023,2/1/2024
802,Schweppes Drink,2,Inventory Item,50.26,71.22,3/2/2025,2/8/2027
804,ProGlide Starter Pack + 3 Blades (018-100),1,Inventory Item,22.45,26.11,2/21/2025,10/31/2025
807,XL Energy Drink 150 ml Small,582,Inventory Item,20.46,29.42,6/20/2023,12/30/2023
812,Edam Cheese 1 kg (�12),367,Inventory Item,31.53,39.81,6/8/2023,2/9/2025
813,Close Up Toothpaste (1�48),181,Inventory Item,66.81,96.42,7/20/2023,6/20/2024
814,Lifebuoy Shower Gel (�12),180,Inventory Item,86.32,97.96,5/1/2024,11/1/2026
815,Toddy Croissant Chocolate (80 pcs + Grand Gift),77.75,Inventory Item,79.9,94.88,7/10/2024,5/17/2025
816,Pistachio Halawa Cake Plate (1�6),2.167,Inventory Item,35.03,53.52,2/14/2025,7/16/2026
819,Almarai Spread 500 g Promo (�7),5,Inventory Item,114.67,139.16,8/5/2024,3/11/2026
820,Abu Al-Walad Cheese (�24),559,Inventory Item,89.07,135.25,5/18/2024,11/24/2025
822,Best Shampoo 700 ml (�12),73,Inventory Item,67.41,83.56,5/25/2025,4/26/2028
824,Lipton Tea 150 g,827.889,Inventory Item,74.18,105.44,1/6/2024,1/13/2026
829,Nescaf� Gold 100 g (�12),185,Inventory Item,51.51,74.54,4/13/2023,1/24/2024
831,Vegetable Ghee 16 kg,77,Inventory Item,31.23,42.36,5/5/2023,7/12/2025
835,Jowan Water Cups 250 ml,475,Inventory Item,44,55.12,11/9/2023,1/26/2025
837,Shakka Dates Paste (Al-Baraka) (1�12),793,Inventory Item,91.43,110.29,3/8/2025,3/27/2026
838,Americana Chickpeas Promo 3+1,58,Inventory Item,3.7,4.13,4/2/2024,12/16/2024
841,Ulker Soup (1�6),8,Inventory Item,15.7,19.66,8/18/2023,7/17/2024
842,Wave Up Cocoa Wafer 40 g (�4),57,Inventory Item,7.43,10.6,10/19/2024,6/8/2027
843,Leon Chips New (50 pcs) + Break Chips,716,Inventory Item,6.81,10.69,5/31/2025,7/31/2026
848,Ariel Detergent 5 kg (White & Color),11,Inventory Item,102.94,158.07,7/16/2023,6/25/2025
849,Basmati Al-Diyafa Rice 5 kg (1�4),2934,Inventory Item,85.03,126.1,6/3/2025,4/5/2028
850,Oral-B Dual Toothbrush Premium (112-109),120,Inventory Item,57.95,86.59,1/2/2025,12/20/2026
851,OKF Iced Coffee,88,Inventory Item,13.54,19.4,2/27/2024,8/23/2026
854,Lika Gifts,83,Inventory Item,60.01,73.82,7/25/2024,6/23/2025
859,Sama / Azhar Small Water,173,Inventory Item,57.87,89.91,9/1/2024,7/31/2025
861,Twix White (32 pcs),158,Inventory Item,22.44,32.21,6/20/2023,11/1/2025
864,Al-Mazraa Fava Beans 400 g (1�24),221.833,Inventory Item,53.19,73.41,1/17/2024,10/14/2024
866,Seven Shampoo (1�12),4273,Inventory Item,49.02,56.64,6/22/2023,2/23/2025
870,Tiger Chips 0.5 Shekel (1�50),923,Inventory Item,74.67,98.83,10/24/2024,3/25/2026
875,Laziza Tomatoes 850 g,131,Inventory Item,76.94,102.34,3/28/2024,1/16/2026
878,Al-Zahraa Cream 500 g (�12),462,Inventory Item,7.35,11.26,12/16/2023,5/6/2026
880,Awsam Lentil Soup (1�8),234.875,Inventory Item,46.2,63.45,6/20/2025,4/26/2026
882,Tomato Chips,40,Inventory Item,75.85,97.86,9/25/2024,6/16/2026
883,Al-Zahraa Cappuccino Sticks (1�6),137,Inventory Item,61.37,97.48,5/8/2024,1/22/2027
885,Yo-Yo Chips 1 Shekel,8,Inventory Item,103.07,119.08,9/11/2024,5/5/2027
888,Americana Pineapple Slices 565 g (1�24),8.5,Inventory Item,79.73,104.55,1/4/2023,3/31/2024
889,Ariel 3 kg Color,120.833,Inventory Item,21.23,23.8,4/3/2023,5/9/2025
890,Dry Fava Beans 25 kg,1,Inventory Item,10.33,15.18,1/6/2023,12/28/2023
893,Nutella 750 g (1�12),14,Inventory Item,77.81,121.31,10/15/2023,3/8/2026
894,Americana Spicy Sardines (1�50),4,Inventory Item,5.13,6.36,9/9/2024,6/16/2027
895,Abu Al-Walad Biscuits 60 g (72 pcs),8,Inventory Item,71.12,108.75,5/26/2023,8/25/2025
896,Nescaf� Classic Medium 100 g (1�24),136.083,Inventory Item,112.95,140.75,2/21/2025,1/11/2028
897,Nescaf� Classic Small 50 g (1�24),208,Inventory Item,69.91,108.74,2/28/2024,10/13/2024
899,Nescaf� Classic Large 200 g (1�12),5098,Inventory Item,47.8,70.6,6/8/2025,6/24/2027
900,Clear Shampoo Small 190 ml,582,Inventory Item,77.91,117.06,8/30/2024,12/23/2026
901,Sahtain Ghee 18 kg,2,Inventory Item,56.07,62.18,4/1/2024,9/17/2025
904,Star Biscuits (1�6),411,Inventory Item,66.38,104.97,1/10/2025,6/20/2027
906,Vivien + Rital + Katalia + Jerusalem Water 1.5 L (�8),9109,Inventory Item,113.09,165.49,7/21/2023,11/19/2024
907,KitKat Chunky New (1�26),27,Inventory Item,47.56,59.56,7/31/2023,6/12/2026
915,Laziza Sardines (1�50),5.6,Inventory Item,115.42,174.83,1/6/2023,12/5/2025
916,Al-Manar Starch (1�12),42,Inventory Item,108.83,135.03,9/15/2024,12/3/2026
920,Totco Etty Biscuits 60 g (1�6),1.667,Inventory Item,25.1,38.56,1/11/2024,8/22/2026
921,Al-Awafi Tomatoes 580 g (�24),3.625,Inventory Item,10.18,11.77,6/9/2025,1/20/2026
922,Huggies Newborn NB Carton,238,Inventory Item,13.89,20.17,3/22/2024,7/16/2025
925,Sibyl Ocean Tuna with Olive Oil (1�48),16.958,Inventory Item,4.15,5.69,4/14/2025,2/25/2028
927,Colgate Toothpaste 75 g (�48),588,Inventory Item,13.14,15.09,4/16/2023,4/11/2026
928,Nika Toilet Block � Sabaat,766,Inventory Item,82.59,100.84,10/12/2024,5/22/2026
930,Glass Soda 250 ml (1�24),232,Inventory Item,10.4,11.5,3/21/2025,3/24/2026
931,Nesquik Biscuits (1�12),349,Inventory Item,39.64,52.89,2/5/2024,11/2/2026
933,Ariel Pods 27 pcs (1�4),1968,Inventory Item,101.7,127.19,4/6/2023,1/9/2026
934,Qamreen Juice (1�6),40,Inventory Item,4.75,6.65,1/23/2024,11/26/2024
935,Spira Insecticide Spray 630 ml (1�12),300,Inventory Item,98.11,122.5,3/27/2024,4/6/2026
936,Sunsilk 190 ml (1�36),1394,Inventory Item,35.26,44.07,4/28/2025,4/14/2027
937,Majhoul Dates 1 kg � Second Grade,8,Inventory Item,15.94,23.46,3/19/2025,6/7/2026
938,Majhoul Dates 5 kg � Second Grade,1,Inventory Item,84.21,94.66,6/19/2025,4/12/2026
939,Majhoul Dates 5 kg � First Grade,22,Inventory Item,76.22,118.25,2/20/2024,11/24/2025
940,Sweetz Samosa Dough (1�30),1859,Inventory Item,105.54,161.07,12/26/2024,11/14/2025
942,Sabaat Body Foam (1�12),1189,Inventory Item,88.74,127.24,5/18/2024,1/29/2026
943,Vitrak Syrup (Carob & Tamarind) (1�12),48,Inventory Item,96.81,135.21,3/29/2024,4/12/2025
944,Al-Walad Cream + Melody + Laziza Cream 150 g (Cheap) (1�48),0.771,Inventory Item,35.28,54.55,10/18/2023,9/18/2024
945,Tweril Chocolate,240,Inventory Item,22.94,27.36,6/17/2024,4/14/2026
946,Ferrero Rocher T16 (5�4),37,Inventory Item,90.57,103.2,7/12/2023,5/16/2026
947,Nutella Go T1 (1�24),792,Inventory Item,97.21,118.57,5/30/2023,4/7/2024
950,Al-Junaidi Milk (1�12),1364,Inventory Item,118.88,178,5/29/2025,5/24/2028
951,Fayrouz 1 L (1�6),2466,Inventory Item,50.69,56.64,1/28/2025,12/21/2025
955,Al-Karmel Corn Oil 5 L,40,Inventory Item,45.9,63.87,2/17/2025,7/17/2026
962,Nesquik New Can 350 g (�12),8,Inventory Item,93.62,149.58,2/1/2025,10/9/2025
963,Hop On Energy Drink,78,Inventory Item,42.21,64.49,5/29/2024,7/15/2025
966,Tiger Bathroom Cleaner 1 L (1�12),55,Inventory Item,111.83,152.17,1/28/2024,6/24/2025
967,Juhayna Juice Carton 200 ml,12,Inventory Item,103.29,116.91,11/12/2023,7/29/2026
969,Glass Soda 1 L (1�12),222,Inventory Item,52.62,79.76,3/17/2023,7/9/2025
970,Coffee Mate 450 g Pouch,1610,Inventory Item,90.6,126.79,8/21/2024,5/17/2025
971,Bonbon Sweet (1�12),198,Inventory Item,91.04,105.38,9/27/2023,2/21/2025
972,Ginger Candy (1�12),55,Inventory Item,14.17,16.25,8/13/2023,8/25/2024
973,Long Chips 75 g,1,Inventory Item,108.5,168.7,6/13/2024,5/19/2025
974,Coconut Drink,18,Inventory Item,61.62,88.4,4/23/2023,4/9/2025
976,King Bamba Chips (1 Shekel / 52 pcs),18,Inventory Item,99.52,150.74,9/8/2023,7/4/2024
979,Al-Joud Sunflower Oil 5 L (�4),546,Inventory Item,39.77,61.23,8/21/2023,12/13/2024
980,Al-Joud Corn Oil 3 L (�6),9.167,Inventory Item,107.67,149.22,4/20/2025,10/10/2027
981,Gusto Biscuits Stand (1�4),1,Inventory Item,47.93,65.12,3/1/2025,3/25/2027
984,Ale Caf�,101,Inventory Item,3.28,4.31,12/14/2024,8/21/2026
985,Clothes Pegs,52,Inventory Item,108.84,136.97,3/24/2023,11/26/2023
986,Magic Wipes,3,Inventory Item,12.77,16.82,5/5/2023,12/4/2025
989,Fairy White 1350 ml (1�9),66,Inventory Item,39.68,59,6/24/2023,3/23/2025
990,Cappy 1.5 L Octa Pack (1�8),6476,Inventory Item,114.11,159.86,3/10/2023,1/31/2025
992,Al-Kasih Fava Beans 400 g (1�24),1830,Inventory Item,114.17,176.54,2/16/2023,9/15/2024
993,Cheap Tuna Mix (Najjar + Fatafit + Alaa Al-Deen) (1�48),5022,Inventory Item,69.67,92.08,6/2/2025,8/10/2027
994,Al-Kasih Tomatoes 185 g (1�48),5576,Inventory Item,76.56,107.46,9/13/2023,12/21/2024
995,Al-Zahraa Sahlab Sticks (1�6),752,Inventory Item,54.92,77.75,12/27/2024,1/6/2027
996,Head & Shoulders 90 ml (1�24),447,Inventory Item,36.6,51.09,1/30/2023,12/15/2023
997,Fairy Power 515 ml (�16),34,Inventory Item,40.78,59.18,10/8/2023,4/4/2026
999,Oreo Chocolate Coated 32 g (1�9�16),145,Inventory Item,81.36,99.15,8/25/2023,8/29/2025
1000,Original Juice 1.5 L (1�6),310,Inventory Item,90.78,123.11,9/5/2023,4/22/2026
1001,Loacker Bags 250 g (�18),287,Inventory Item,95.41,109.92,1/3/2024,2/10/2026
1005,Croky Chips (1�12),2,Inventory Item,95.17,122.98,5/9/2024,11/2/2026
1008,Celebrations Gift Box 550 g (1�10),11,Inventory Item,12.76,17.15,1/25/2023,1/2/2026
1009,Al-Hilal Halawa Bites (1�12),356,Inventory Item,60.34,86.05,8/8/2024,10/6/2026
1010,Lush Gifts (1�6),34,Inventory Item,8.79,13.85,12/18/2024,7/3/2027
1011,Galaxy White,781,Inventory Item,66.84,93.6,5/4/2024,8/8/2025
1012,Heinz Tomato Paste Sachet 135 g (1�48),4534,Inventory Item,54.1,79.62,5/8/2024,8/26/2026
1015,Gardina Balls 1 Shekel (1�6),34,Inventory Item,106.75,144.45,11/10/2023,8/1/2026
1019,Car Tissue Pack,1,Inventory Item,43.41,61.51,8/28/2024,9/24/2026
1020,Al-Kasih Chickpeas (1�24),10.25,Inventory Item,15.81,17.95,1/10/2024,7/23/2026
1021,Liquid Vanilla 28 ml (�12),83,Inventory Item,18.87,23.16,9/30/2024,6/28/2026
1022,Betty Crocker Cream (Vanilla) (1�8),15,Inventory Item,91.86,117.67,1/25/2023,10/18/2023
1025,Sanaa Tissues 1 kg (1�10),4.6,Inventory Item,74.95,100.15,11/30/2023,8/14/2024
1026,Tuna Salad with Beans 150 g (1�48),0.5,Inventory Item,13.93,15.64,12/21/2023,1/8/2025
1027,Al-Zahraa Chocolate Sticks (1�6),170,Inventory Item,11.92,13.95,4/26/2023,12/21/2025
1029,Heinz Chili Ketchup New 255 g (�10),100,Inventory Item,84.71,104.91,2/17/2023,7/17/2024
1030,Kinder Maxi (1�36�8),2820,Inventory Item,10.59,16.79,1/7/2025,3/16/2026
1031,Kinder Country (1�40�6),111,Inventory Item,98.98,125.28,2/16/2025,6/14/2026
1032,Leviva Chocolate (1�6),526,Inventory Item,85.34,114.44,4/9/2023,10/19/2024
1033,New Milk Wafer Biscuits 60 g (1�6),81,Inventory Item,11.6,13.9,4/3/2024,2/6/2025
1034,Yupi Wafer Biscuits 43 g (1�6),3,Inventory Item,12.01,16.88,6/6/2024,7/21/2026
1036,Large Energy Drink (1�24),11,Inventory Item,118.42,146.88,8/19/2024,11/17/2025
1038,Al-Hayat Mayonnaise (1�12),23,Inventory Item,46.16,55.55,2/9/2024,7/6/2026
1039,Soho Etty Caramel Chocolate (Cheap) (1�6),12,Inventory Item,45.74,62.13,8/2/2023,8/8/2025
1040,Waleema Rice 3 kg (1�6),69,Inventory Item,97.91,107.97,11/15/2024,10/29/2027
1041,Heinz Mayonnaise Jar 430 g (1�12),181,Inventory Item,113.78,125.59,6/21/2025,6/18/2026
1042,Heinz Squeeze 400 ml + Mayo Ketchup (1�12),526,Inventory Item,118.35,143.15,5/17/2024,8/7/2025
1043,Marina Tuna in Vegetable Oil 900 g (1�12),126,Inventory Item,90.9,101.66,12/21/2024,9/4/2027
1045,Huggies Mega Pack,4,Inventory Item,46.4,53.55,3/23/2024,8/6/2025
1047,Knorr Soup Cubes 20 g (�24),57,Inventory Item,11.85,15.04,6/12/2025,5/4/2027
1049,Knorr Soup Powder (1�40) �10,15,Inventory Item,93.7,140.67,7/29/2024,9/28/2026
1050,Cheap Baker�s Yeast (1�60),148,Inventory Item,67.89,94.1,9/15/2023,5/29/2024
1051,Grip Time 16 g (1�12),2.75,Inventory Item,52.06,70.61,4/23/2025,12/12/2027
1052,Super Time Roll 15 g (1�12),28.417,Inventory Item,108.95,135.83,5/1/2023,9/30/2024
1053,Slim Jofrette Chocolate Biscuits 20 g (1�12),0.5,Inventory Item,15.12,23.68,3/20/2025,7/21/2027
1054,Triplex Wafer 20 g (1�6),7.167,Inventory Item,60.13,78.08,2/23/2023,2/27/2025
1055,Junkle 33 g (1�12),5,Inventory Item,3.34,3.82,11/27/2023,10/15/2025
1056,Iced Tea Drink (1�24),1,Inventory Item,57.3,80.71,2/22/2025,4/15/2026
1057,Brand Lychee Juice 250 ml (1�24),23,Inventory Item,8.64,10,8/29/2023,7/7/2024
1059,Pineapple Pieces Sibyl 565 g (1�24),30,Inventory Item,16.02,20.39,1/24/2025,1/30/2026
1061,Ital Pasta Shapes + Spaghetti 500 g (1�24),4,Inventory Item,15.87,21.48,6/13/2024,11/30/2025
1062,Flake Biscuits (2 Shekel) (1�12),66,Inventory Item,78.61,120.83,4/27/2024,7/28/2025
1063,Venus Swirl Blades,30,Inventory Item,90.03,121.25,7/6/2023,1/19/2024
1064,Swirl Handle,14,Inventory Item,70.84,102.8,5/7/2025,4/10/2027
1065,Heinz Mayonnaise Jar 215 g (1�12),42.167,Inventory Item,115.54,184.45,10/17/2024,10/11/2025
1066,Heinz Squeeze 255 ml (Light + Classic + Mayo Ketchup),397,Inventory Item,46.23,53.89,9/19/2023,7/17/2024
1067,Heinz Squeeze 225 ml Chili + Garlic (1�12),185,Inventory Item,35.71,44.19,12/30/2023,2/27/2025
1068,Al-Faisal Rice 5 kg (1�4),172,Inventory Item,104.49,135.55,5/5/2024,11/4/2026
1069,Tio Jo�o Rice 5 kg (1�6),4,Inventory Item,28.38,37.2,3/6/2024,9/9/2025
1070,Jasmine Flower Rice 5 kg (1�5),2.2,Inventory Item,115.66,151,8/27/2023,4/13/2024
1071,Alaa Al-Deen Toilet Paper 48 Rolls,56,Inventory Item,3.43,5.33,10/31/2023,7/7/2024
1073,Three Cows Cheese (1�24),104,Inventory Item,116.45,169.67,10/25/2023,8/14/2025
1074,Uno Laundry Powder (1�12),0.083,Inventory Item,7.09,9.95,3/17/2023,3/25/2025
1075,Mama Pads (1�5�8),36,Inventory Item,107.15,134.44,11/30/2024,6/16/2025
1076,Taks Chips 35 g (1�5�25),90,Inventory Item,64.27,97.17,11/29/2023,7/9/2026
1080,Mandi Rice 1 kg,5,Inventory Item,119.17,187.99,6/18/2025,3/8/2026
1081,Five Star Chocolate (1�48),2.25,Inventory Item,10.71,16.18,1/27/2025,12/27/2025
1083,Istanbul Gifts 600 g (1�8),4,Inventory Item,67.35,74.14,10/3/2024,10/17/2026
1084,Max Gifts (1�6),18,Inventory Item,116.38,165.05,4/18/2024,6/25/2026
1085,Coconut Roll Gifts (1�6),6,Inventory Item,63.73,71.73,4/6/2025,9/24/2026
1086,Al-Malika Dates Paste (1�28),11.071,Inventory Item,76.27,93.72,10/10/2023,7/1/2026
1087,Toddy Croissant Stand 45 g (3�24),107,Inventory Item,84.1,95.01,8/13/2024,11/17/2026
1091,Patos Chips 1 Shekel (60 pcs),1,Inventory Item,55.64,78,3/13/2023,11/24/2024
1092,No.1 Turco Chocolate (1�6),33,Inventory Item,76.05,109.76,9/20/2023,5/25/2024
1093,Awsam Pea Chips (1�40),19,Inventory Item,70.95,82.11,12/3/2024,11/5/2026
1094,Sunsilk 600 ml (1�16),9279,Inventory Item,108.34,139.97,5/28/2025,4/15/2026
1095,Marina Tuna in Water 140 g (1�48),52.25,Inventory Item,7.36,9.77,6/5/2025,6/11/2026
1096,Jarico Water (1�8),475,Inventory Item,35.15,45.15,7/28/2024,2/14/2026
1098,Basmati Al-Diyafa Rice 1 kg (�20),206.8,Inventory Item,114.15,132.47,6/10/2025,12/19/2026
1100,Heinz Ketchup Small 460 g (1�10),115,Inventory Item,107.05,140.18,1/12/2023,2/10/2025
1101,Wave Up Extra Carton (1 Shekel) (1�6),46.5,Inventory Item,55.77,82.29,5/21/2023,5/4/2025
1102,Siniora Large Promo with Gift,57,Inventory Item,75.18,85.37,2/4/2025,6/26/2027
1103,Fruitoria Juice 300 ml (1�24),4,Inventory Item,34.73,39.6,7/8/2024,10/23/2025
1105,Accord Glass Cleaner 500 ml Cheap (1�12),6,Inventory Item,24.2,30.91,1/17/2023,7/24/2023
1106,Cadbury Snack Sandwich Chocolate (1�60),2,Inventory Item,56.72,89.1,3/4/2023,5/27/2024
1107,Lux Soap (24 bars �6),921,Inventory Item,43.7,62.68,9/10/2023,3/29/2025
1109,VIP Biscuits 112 g (60 pcs),104,Inventory Item,70.87,102.01,4/9/2024,1/6/2025
1110,Flamingo Air Freshener (1�12),0.667,Inventory Item,11.17,14.31,1/11/2024,12/19/2025
1113,Turkish Glass Cleaner 1 L (1�12),6,Inventory Item,116.98,163.4,3/14/2025,2/10/2026
1117,M&M�s Red + Green (1�24),32,Inventory Item,118.37,130.81,6/3/2024,1/8/2026
1118,Cola 1 L Promo Pack (3+1),49,Inventory Item,84.38,119.65,4/16/2025,1/30/2028
1123,Laziza Ketchup 340 g (1�24),424,Inventory Item,65.26,101.59,3/31/2023,2/22/2024
1125,Egyptian Nescaf� Sticks 18 g (1�12),2548,Inventory Item,38.52,54.17,12/20/2024,11/23/2027
1127,Laziza Tomatoes 580 g (1�12),252,Inventory Item,98.03,150.66,3/14/2025,6/3/2026
1130,Duracell AA Batteries 4 pcs (1�20),330,Inventory Item,82.8,121.05,3/6/2025,10/28/2026
1131,Barilla Fettuccine Pasta 500 g (1�12 Carton),640,Inventory Item,21.19,24.59,9/21/2024,7/7/2027
1138,Halato Lollipops (1�6),5.167,Inventory Item,109.49,169.84,5/10/2025,7/16/2027
1139,Sweetened Condensed Milk Nestl� 397 g (1�48),263,Inventory Item,99.06,112.26,6/24/2023,4/5/2025
1140,White Table Vinegar (1�12),45,Inventory Item,114.08,155.95,3/17/2023,2/21/2026
1141,Kinder Cake (1�14),522,Inventory Item,87.63,102.62,9/4/2024,8/31/2026
1142,Cinnamon Biscuits (1�6),84,Inventory Item,74.38,82.25,10/24/2024,1/12/2027
1143,Bonbon Chocolate (12 pcs) Arcor Chocolate + Vanilla,88,Inventory Item,51.35,67.32,2/4/2024,1/9/2026
1144,Lotus Biscuits White Pack (50 pcs) (1�6),24,Inventory Item,112.06,139.8,2/20/2025,1/3/2027
1145,One Cake �1KEK� (1�6),12,Inventory Item,104.2,139.94,3/12/2023,9/21/2023
1147,Cadbury Dairy Milk 26 g (1 Shekel) (�12),12,Inventory Item,7.34,10.19,6/29/2023,2/10/2026
1148,Choice Baby Wet Wipes (1�24),2316,Inventory Item,5.11,5.73,5/4/2023,8/12/2025
1149,Bambino Wet Wipes (1�24),2582,Inventory Item,46.42,53.92,1/16/2024,9/27/2026
1151,Sunri Rice 1 kg (1�12),20,Inventory Item,97.65,134.69,10/20/2023,4/15/2025
1152,Sunri Rice 2.5 kg (1�6),9,Inventory Item,118.5,150.68,3/7/2025,12/30/2025
1153,Sunri Rice 5 kg (1�4),4,Inventory Item,19.75,28.93,7/14/2023,9/3/2024
1154,Pantene Hair Oil 200 ml,777,Inventory Item,72.11,102.84,6/29/2025,6/24/2027
1155,Pantene Hair Oil 360 ml,560,Inventory Item,46.95,71.5,8/16/2023,7/29/2024
1156,Black Flour 30 kg,36,Inventory Item,116.45,168.42,3/6/2024,2/5/2026
1159,Popcorn Carton (60 pcs),4,Inventory Item,101.37,133.3,3/11/2024,6/2/2026
1160,Diana Shampoo (1�12),12,Inventory Item,100.92,144.97,2/25/2025,2/22/2028
1161,Lusine Cake � Almarai (1�8),48,Inventory Item,57.31,70.93,4/5/2024,7/20/2026
1162,Kleenex Toilet Paper 18 Rolls,918,Inventory Item,50.95,63.85,9/9/2024,3/12/2027
1163,Dido Red (1�6),24,Inventory Item,34.26,51.2,1/21/2023,12/18/2025
1164,Dido Yellow (1�6),215,Inventory Item,8.65,11.45,3/5/2023,10/8/2025
1165,Ulker Salt Biscuits,34,Inventory Item,104.04,155.98,6/14/2023,1/28/2026
1166,Almarai Chocolate Milk 200 ml (1�27),122,Inventory Item,97.92,147.98,1/27/2023,12/12/2025
1167,Fawzi Mozi Pea Chips 60 g (25 pcs),2,Inventory Item,119.97,183.41,11/7/2023,10/2/2025
